Unnamed: 0,price
1,334.29
3,331.91
8,336.71
10,335.2
12,340.33
22,351.7
23,352.8
26,352.86
29,353.84
30,354.37
31,354.89
32,359.03
33,365.96
34,399.18
35,402.46
36,402.42
37,402.19
39,403.01
43,402.8
44,403.02
52,403.98
76,554.2
77,554.2
78,554.2
79,554.21
80,554.22
81,554.22
82,554.22
83,554.22
85,554.23
91,2759.21
93,2759.06
96,2759.02
97,2759.28
119,2762.0
123,2762.09
124,2762.05
125,2762.24
126,2762.82
127,2768.0
129,2766.92
130,2767.24
134,2764.7
140,2765.14
143,2765.94
144,2766.68
146,2767.49
149,2768.03
150,2768.24
168,2772.84
169,2772.85
172,2772.84
175,2774.16
187,2776.24
192,2777.01
193,2777.07
194,2777.08
195,2777.06
196,2777.0
197,2777.07
198,2777.08
199,2777.06
201,2777.23
202,2777.2
203,2777.21
204,2777.13
207,2777.4
211,2779.19
215,2780.03
222,2782.01
223,2782.16
227,2782.14
235,2787.26
236,2787.78
250,2789.02
257,2789.72
267,2791.87
268,2792.0
270,2792.07
272,2792.79
273,2792.99
297,2796.81
303,2799.13
307,2799.77
330,2802.29
334,2803.0
342,2802.41
346,2803.98
349,2804.09
350,2804.02
361,2805.4
364,2806.21
369,2807.72
372,2807.02
377,2808.45
378,2809.66
379,2809.72
381,2810.5
387,2811.08
388,2811.13
389,2811.24
390,2811.17
409,554.79
410,554.79
411,554.79
412,554.79
416,1002.94
420,556.0
421,2811.97
422,2811.99
427,2813.0
429,2812.93
436,2814.65
437,2814.7
438,2814.69
439,2814.7
463,2817.01
464,2817.11
465,2817.62
469,2818.03
470,2817.99
471,2818.19
472,2819.0
476,2819.11
488,2821.23
492,2822.0
498,2822.0
499,2822.0
502,2822.0
503,2822.0
504,2822.2
505,2822.25
506,2822.35
507,2822.92
508,2822.94
509,2822.98
510,2822.98
520,2824.41
521,2824.79
527,2825.7
529,2825.64
531,2825.91
532,2826.14
533,2826.05
537,2826.66
540,2827.22
541,2827.26
542,2828.59
563,2831.16
566,2831.94
571,2832.88
572,2833.02
574,2832.93
575,2834.02
586,2835.07
590,2834.9
592,2836.26
593,2837.37
596,2837.83
598,2838.13
599,2838.2
600,2838.21
601,2838.36
602,2838.56
603,2838.96
604,2838.99
605,2838.81
608,2839.0
613,2838.96
615,2838.97
616,2839.0
623,2840.13
627,2840.75
631,2841.09
632,2841.06
633,2840.97
641,2841.76
642,2842.68
643,2842.91
653,2843.5
657,2844.49
658,2845.13
660,2892.73
667,2846.19
668,2846.1
675,2847.54
680,2848.78
681,2849.71
683,2846.14
689,2851.35
693,2854.49
699,2853.28
701,2853.95
704,2855.64
705,2855.63
706,2855.71
707,2855.82
708,2854.36
721,556.16
722,556.16
724,556.13
725,556.16
726,556.16
727,556.16
728,556.38
729,556.41
754,2856.43
759,2857.16
763,2858.0
770,2858.1
773,2858.34
774,2858.85
777,2859.15
786,2860.42
787,2860.45
789,2860.92
790,2861.3
792,2861.55
797,2861.98
798,2861.98
800,2862.01
804,2862.04
814,2863.13
827,2866.28
830,2866.83
834,2867.07
836,2867.06
837,2867.11
838,2867.11
842,2867.57
847,2868.68
852,2869.77
856,2869.93
864,2871.22
867,2871.73
868,2871.79
869,2872.07
870,2872.16
871,2872.11
872,2872.09
889,2873.81
890,2873.86
891,2873.98
892,2874.0
893,2874.88
894,2874.87
895,2875.07
906,2877.28
907,2877.9
915,2879.02
924,2880.1
927,2881.55
944,2887.21
947,2888.82
948,2888.91
970,2892.93
973,2893.15
975,2893.22
976,2893.67
977,2894.05
982,2894.57
